gender,age,location,category,item,quantity,date,unit_price,total_price
male,42,connacht,footwear,puma,5,2017-12-06,99.99,499.95
male,38,munster,electronics,cooker,5,2019-08-24,85.99,429.95
male,32,ulster,accessories,camera,5,2017-01-13,174.88,874.40
male,54,munster,electronics,refridgerator,6,2019-05-10,205.99,1235.94
female,25,ulster,electronics,iron,8,2019-09-17,59.60,476.80
male,61,ulster,computers,lenovo,1,2018-10-02,827.45,827.45
female,60,leinster,electronics,cooker,9,2018-06-26,85.99,773.91
female,20,leinster,electronics,iron,4,2017-11-15,59.60,238.40
female,40,leinster,phones,iphone,3,2019-03-02,910.99,2732.97
female,27,leinster,phones,infinix,1,2019-07-31,340.29,340.29
male,32,leinster,accessories,headphones,8,2019-09-21,225.39,1803.12
female,19,leinster,computers,asus,1,2019-08-02,984.34,984.34
male,60,leinster,electronics,iron,7,2019-03-11,59.60,417.20
female,40,leinster,footwear,puma,10,2017-04-30,99.99,999.90
male,60,munster,computers,dell,9,2017-05-16,1323.49,11911.41
male,65,connacht,electronics,bulb,10,2018-01-24,7.99,79.90
male,18,munster,computers,dell,5,2017-03-12,1323.49,6617.45
female,42,connacht,computers,asus,3,2017-06-20,984.34,2953.02
female,59,leinster,computers,apple,2,2018-08-01,1672.99,3345.98
female,63,leinster,footwear,adidas,10,2018-09-03,115.99,1159.90
female,53,connacht,phones,iphone,3,2019-06-23,910.99,2732.97
male,20,leinster,footwear,adidas,2,2018-03-24,115.99,231.98
female,29,ulster,footwear,nike,2,2019-12-09,107.92,215.84
female,26,munster,footwear,adidas,1,2019-11-08,115.99,115.99
female,60,connacht,computers,apple,2,2018-04-01,1672.99,3345.98
female,54,connacht,phones,huawei,4,2019-01-27,750.99,3003.96
female,22,leinster,electronics,refridgerator,1,2017-03-12,205.99,205.99
male,20,ulster,computers,hp,8,2019-12-24,1082.99,8663.92
male,33,leinster,electronics,cooker,6,2017-02-25,85.99,515.94
female,49,leinster,computers,hp,1,2018-06-18,1082.99,1082.99
male,28,connacht,footwear,puma,6,2017-06-20,99.99,599.94
female,37,connacht,footwear,adidas,3,2017-12-27,115.99,347.97
female,22,ulster,phones,infinix,2,2018-08-08,340.29,680.58
male,31,connacht,phones,samsung,6,2017-11-03,890.29,5341.74
female,57,ulster,phones,gionee,4,2019-04-06,280.99,1123.96
female,40,connacht,accessories,speakers,9,2019-04-29,78.35,705.15
female,38,munster,phones,nokia,10,2018-12-09,420.19,4201.90
female,49,leinster,phones,nokia,8,2017-01-30,420.19,3361.52
male,48,connacht,computers,dell,1,2017-07-03,1323.49,1323.49
male,43,munster,computers,hp,1,2017-02-14,1082.99,1082.99
male,26,leinster,phones,iphone,7,2017-01-24,910.99,6376.93
female,30,connacht,footwear,nike,10,2017-05-17,107.92,1079.20
female,60,ulster,electronics,bulb,3,2018-02-24,7.99,23.97
male,30,munster,phones,gionee,8,2019-02-17,280.99,2247.92
male,52,munster,electronics,refridgerator,2,2019-07-04,205.99,411.98
female,44,ulster,accessories,headphones,4,2017-09-27,225.39,901.56
male,64,leinster,electronics,bulb,1,2017-08-26,7.99,7.99
male,47,connacht,electronics,iron,10,2018-01-26,59.60,596.00
male,30,connacht,electronics,iron,6,2017-12-09,59.60,357.60
female,59,ulster,footwear,nike,9,2018-02-17,107.92,971.28
female,61,leinster,phones,tecno,7,2017-08-15,300.99,2106.93
female,59,munster,accessories,camera,3,2018-02-03,174.88,524.64
female,27,ulster,phones,infinix,8,2018-07-19,340.29,2722.32
male,28,ulster,phones,gionee,10,2019-08-15,280.99,2809.90
male,19,ulster,phones,huawei,10,2017-09-27,750.99,7509.90
male,23,connacht,accessories,speakers,10,2018-01-07,78.35,783.50
female,57,connacht,phones,gionee,9,2019-07-19,280.99,2528.91
male,43,connacht,accessories,camera,4,2019-07-19,174.88,699.52
male,42,ulster,accessories,camera,9,2017-02-14,174.88,1573.92
male,56,leinster,electronics,fan,9,2017-08-22,24.49,220.41
male,49,leinster,phones,iphone,4,2019-10-17,910.99,3643.96
female,20,leinster,electronics,iron,6,2017-01-23,59.60,357.60
male,40,ulster,accessories,camera,1,2019-09-01,174.88,174.88
female,20,ulster,accessories,speakers,4,2018-12-20,78.35,313.40
female,19,leinster,phones,infinix,2,2017-04-24,340.29,680.58
female,39,leinster,accessories,speakers,1,2018-03-16,78.35,78.35
male,21,leinster,footwear,adidas,10,2017-02-23,115.99,1159.90
male,49,leinster,accessories,speakers,5,2019-02-23,78.35,391.75
male,22,connacht,computers,lenovo,4,2018-02-27,827.45,3309.80
male,18,leinster,phones,gionee,1,2019-10-25,280.99,280.99
female,32,leinster,electronics,refridgerator,5,2019-05-20,205.99,1029.95
female,64,ulster,computers,lenovo,4,2018-02-18,827.45,3309.80
female,61,munster,computers,lenovo,3,2017-05-20,827.45,2482.35
female,56,connacht,computers,lenovo,9,2017-03-21,827.45,7447.05
male,40,ulster,phones,nokia,10,2017-04-10,420.19,4201.90
male,25,ulster,computers,dell,10,2017-09-15,1323.49,13234.90
female,36,connacht,electronics,refridgerator,7,2019-11-09,205.99,1441.93
female,27,leinster,electronics,washing_machine,9,2017-03-01,219.99,1979.91
male,30,munster,footwear,nike,6,2019-10-20,107.92,647.52
female,53,leinster,footwear,puma,5,2017-04-08,99.99,499.95
female,22,munster,phones,nokia,3,2018-07-26,420.19,1260.57
male,65,ulster,electronics,cooker,9,2018-06-11,85.99,773.91
female,52,munster,phones,nokia,5,2019-06-22,420.19,2100.95
female,64,munster,phones,tecno,1,2017-10-31,300.99,300.99
female,35,connacht,footwear,puma,1,2018-02-27,99.99,99.99
male,60,leinster,computers,apple,10,2018-02-14,1672.99,16729.90
male,44,leinster,electronics,cooker,7,2017-06-13,85.99,601.93
female,21,munster,footwear,nike,8,2019-09-08,107.92,863.36
male,42,leinster,phones,nokia,1,2019-02-19,420.19,420.19
male,37,connacht,computers,hp,5,2019-10-23,1082.99,5414.95
male,43,leinster,computers,dell,9,2018-09-02,1323.49,11911.41
male,38,connacht,computers,dell,7,2018-09-10,1323.49,9264.43
female,39,leinster,computers,hp,3,2019-04-30,1082.99,3248.97
female,35,leinster,computers,hp,1,2019-03-30,1082.99,1082.99
male,38,leinster,accessories,speakers,8,2019-02-05,78.35,626.80
female,57,leinster,electronics,bulb,3,2018-01-30,7.99,23.97
male,28,leinster,accessories,speakers,4,2018-11-15,78.35,313.40
male,45,leinster,computers,dell,10,2017-07-09,1323.49,13234.90
female,40,leinster,accessories,speakers,4,2017-08-03,78.35,313.40
female,50,leinster,accessories,speakers,8,2017-04-28,78.35,626.80
male,19,leinster,computers,hp,6,2017-12-19,1082.99,6497.94
female,46,leinster,accessories,speakers,8,2017-09-25,78.35,626.80
female,38,leinster,footwear,puma,10,2019-02-01,99.99,999.90
male,58,leinster,phones,huawei,7,2018-03-07,750.99,5256.93
male,27,leinster,footwear,puma,3,2019-11-04,99.99,299.97
male,33,leinster,footwear,puma,2,2018-12-17,99.99,199.98
male,38,leinster,phones,nokia,9,2017-11-25,420.19,3781.71
male,28,leinster,phones,gionee,7,2018-08-20,280.99,1966.93
female,62,leinster,computers,dell,2,2019-05-03,1323.49,2646.98
male,52,leinster,footwear,nike,9,2019-12-31,107.92,971.28
female,59,leinster,phones,gionee,3,2018-11-28,280.99,842.97
male,49,leinster,footwear,adidas,7,2018-10-08,115.99,811.93
male,23,leinster,computers,asus,3,2017-08-22,984.34,2953.02
male,55,leinster,electronics,washing_machine,7,2019-08-24,219.99,1539.93
female,49,leinster,computers,hp,4,2017-08-22,1082.99,4331.96
female,54,munster,accessories,speakers,3,2017-01-13,78.35,235.05
male,49,munster,phones,infinix,1,2018-02-07,340.29,340.29
male,55,ulster,computers,asus,9,2019-11-14,984.34,8859.06
female,56,leinster,computers,lenovo,4,2019-01-26,827.45,3309.80
male,26,leinster,footwear,nike,4,2018-02-01,107.92,431.68
male,36,leinster,electronics,bulb,1,2017-07-04,7.99,7.99
female,64,leinster,footwear,puma,9,2017-12-01,99.99,899.91
male,35,leinster,accessories,speakers,5,2017-09-23,78.35,391.75
female,19,leinster,footwear,adidas,1,2019-01-23,115.99,115.99
female,42,leinster,footwear,puma,5,2018-11-14,99.99,499.95
female,44,munster,accessories,camera,8,2017-08-03,174.88,1399.04
male,56,ulster,phones,iphone,5,2017-04-07,910.99,4554.95
female,21,leinster,computers,dell,1,2018-03-31,1323.49,1323.49
male,36,leinster,footwear,nike,9,2017-08-06,107.92,971.28
male,47,ulster,footwear,adidas,5,2017-03-09,115.99,579.95
female,50,ulster,electronics,cooker,8,2019-11-28,85.99,687.92
male,31,connacht,footwear,nike,6,2019-07-14,107.92,647.52
female,65,munster,accessories,headphones,2,2019-07-28,225.39,450.78
male,39,munster,footwear,nike,3,2017-02-03,107.92,323.76
male,38,ulster,footwear,nike,2,2019-01-11,107.92,215.84
female,23,munster,electronics,fan,2,2019-02-16,24.49,48.98
male,31,munster,phones,huawei,6,2018-04-22,750.99,4505.94
male,29,munster,phones,infinix,6,2019-02-11,340.29,2041.74
female,34,munster,computers,dell,1,2018-07-28,1323.49,1323.49
female,43,leinster,phones,huawei,3,2018-09-12,750.99,2252.97
female,27,ulster,footwear,puma,10,2019-07-01,99.99,999.90
female,60,leinster,computers,asus,8,2019-08-16,984.34,7874.72
female,24,connacht,accessories,speakers,3,2018-08-06,78.35,235.05
female,18,leinster,electronics,cooker,7,2018-09-30,85.99,601.93
female,51,leinster,phones,nokia,3,2019-05-02,420.19,1260.57
female,51,ulster,electronics,television,2,2018-07-13,185.50,371.00
male,41,munster,footwear,adidas,2,2017-10-22,115.99,231.98
male,24,leinster,accessories,camera,8,2017-05-06,174.88,1399.04
male,26,connacht,accessories,headphones,9,2018-01-17,225.39,2028.51
female,50,munster,electronics,cooker,6,2018-06-18,85.99,515.94
female,53,munster,electronics,television,3,2017-02-10,185.50,556.50
female,46,leinster,accessories,headphones,3,2018-07-24,225.39,676.17
female,60,munster,accessories,speakers,9,2017-08-14,78.35,705.15
female,21,leinster,accessories,camera,8,2018-05-26,174.88,1399.04
female,43,leinster,electronics,television,6,2019-04-11,185.50,1113.00
female,31,leinster,phones,infinix,8,2017-10-10,340.29,2722.32
female,33,leinster,electronics,iron,3,2018-11-24,59.60,178.80
female,65,connacht,footwear,adidas,10,2017-09-11,115.99,1159.90
male,19,leinster,accessories,speakers,8,2019-02-07,78.35,626.80
female,34,leinster,computers,asus,5,2018-03-16,984.34,4921.70
female,21,leinster,footwear,adidas,8,2019-11-30,115.99,927.92
female,52,leinster,computers,dell,2,2018-03-21,1323.49,2646.98
male,28,leinster,accessories,speakers,7,2019-11-12,78.35,548.45
female,61,leinster,footwear,puma,4,2017-11-15,99.99,399.96
male,46,leinster,electronics,cooker,4,2017-10-04,85.99,343.96
female,51,leinster,computers,lenovo,1,2017-05-01,827.45,827.45
male,40,leinster,accessories,headphones,8,2019-09-15,225.39,1803.12
male,29,leinster,electronics,cooker,8,2018-11-21,85.99,687.92
male,46,leinster,accessories,speakers,7,2019-12-19,78.35,548.45
female,44,leinster,footwear,puma,3,2019-02-02,99.99,299.97
female,23,leinster,footwear,adidas,9,2018-11-28,115.99,1043.91
female,64,leinster,footwear,puma,1,2019-10-18,99.99,99.99
female,57,leinster,phones,infinix,5,2019-09-30,340.29,1701.45
male,62,leinster,computers,dell,2,2019-12-27,1323.49,2646.98
female,41,munster,electronics,washing_machine,7,2018-12-03,219.99,1539.93
male,38,ulster,computers,apple,9,2019-03-13,1672.99,15056.91
male,42,munster,footwear,adidas,1,2019-08-20,115.99,115.99
female,62,munster,phones,samsung,10,2017-11-22,890.29,8902.90
male,52,ulster,phones,huawei,3,2019-07-26,750.99,2252.97
female,63,connacht,accessories,camera,7,2017-11-21,174.88,1224.16
male,26,leinster,computers,apple,6,2019-04-13,1672.99,10037.94
female,46,ulster,computers,apple,4,2018-01-16,1672.99,6691.96
male,48,leinster,phones,iphone,3,2017-05-24,910.99,2732.97
male,51,leinster,accessories,speakers,9,2019-12-10,78.35,705.15
male,27,leinster,accessories,headphones,5,2019-07-27,225.39,1126.95
male,31,leinster,computers,hp,3,2017-12-08,1082.99,3248.97
female,22,leinster,electronics,bulb,5,2017-12-04,7.99,39.95
male,51,leinster,phones,iphone,8,2018-05-29,910.99,7287.92
female,30,leinster,electronics,refridgerator,5,2017-11-22,205.99,1029.95
female,53,leinster,phones,iphone,7,2019-08-28,910.99,6376.93
male,51,ulster,accessories,headphones,6,2018-10-16,225.39,1352.34
female,27,leinster,footwear,puma,2,2018-06-13,99.99,199.98
male,21,leinster,computers,hp,7,2018-10-28,1082.99,7580.93
female,31,leinster,accessories,speakers,5,2019-01-26,78.35,391.75
female,53,leinster,electronics,refridgerator,2,2018-09-10,205.99,411.98
male,63,munster,footwear,nike,5,2019-04-12,107.92,539.60
male,46,connacht,computers,apple,10,2018-05-10,1672.99,16729.90
male,18,munster,electronics,bulb,8,2018-02-25,7.99,63.92
female,58,munster,phones,samsung,10,2018-01-17,890.29,8902.90
male,30,ulster,accessories,camera,5,2019-05-27,174.88,874.40
male,44,munster,computers,lenovo,7,2019-08-24,827.45,5792.15
male,64,ulster,electronics,television,5,2019-04-26,185.50,927.50
male,59,connacht,computers,apple,2,2019-03-13,1672.99,3345.98
male,45,munster,electronics,iron,8,2017-08-31,59.60,476.80
female,28,leinster,accessories,headphones,1,2018-02-01,225.39,225.39
male,42,ulster,accessories,speakers,3,2018-06-11,78.35,235.05
male,26,ulster,footwear,puma,3,2017-04-01,99.99,299.97
male,51,leinster,footwear,adidas,6,2017-02-12,115.99,695.94
female,36,munster,computers,hp,3,2019-09-08,1082.99,3248.97
male,22,ulster,footwear,adidas,4,2018-12-03,115.99,463.96
male,52,munster,computers,hp,6,2017-05-23,1082.99,6497.94
male,42,ulster,computers,apple,10,2019-04-07,1672.99,16729.90
male,64,ulster,electronics,fan,5,2018-09-04,24.49,122.45
female,52,connacht,electronics,bulb,2,2018-09-10,7.99,15.98
male,23,leinster,footwear,nike,1,2019-04-18,107.92,107.92
male,49,munster,computers,hp,4,2018-03-14,1082.99,4331.96
male,64,connacht,computers,apple,2,2018-06-07,1672.99,3345.98
male,19,munster,footwear,nike,2,2017-08-02,107.92,215.84
male,62,ulster,footwear,nike,6,2019-12-10,107.92,647.52
female,40,connacht,footwear,nike,9,2019-01-28,107.92,971.28
male,44,connacht,electronics,cooker,5,2019-10-05,85.99,429.95
female,32,leinster,footwear,puma,7,2018-12-02,99.99,699.93
male,31,munster,computers,apple,6,2018-04-19,1672.99,10037.94
female,60,leinster,computers,hp,6,2018-01-22,1082.99,6497.94
male,23,connacht,computers,hp,5,2017-01-23,1082.99,5414.95
female,26,ulster,electronics,cooker,8,2018-06-03,85.99,687.92
male,50,leinster,footwear,adidas,2,2019-08-20,115.99,231.98
female,44,ulster,accessories,speakers,1,2019-01-28,78.35,78.35
male,20,leinster,accessories,speakers,6,2019-07-30,78.35,470.10
male,33,connacht,computers,asus,10,2018-02-24,984.34,9843.40
female,28,ulster,accessories,camera,6,2019-10-04,174.88,1049.28
male,57,leinster,electronics,washing_machine,3,2017-12-24,219.99,659.97
female,48,leinster,computers,dell,6,2018-08-06,1323.49,7940.94
male,60,ulster,footwear,puma,3,2017-12-29,99.99,299.97
male,40,ulster,electronics,cooker,4,2018-06-20,85.99,343.96
male,55,ulster,phones,infinix,4,2019-09-01,340.29,1361.16
female,51,ulster,accessories,camera,2,2019-11-20,174.88,349.76
female,32,leinster,accessories,speakers,3,2018-06-04,78.35,235.05
male,64,munster,computers,lenovo,1,2017-08-09,827.45,827.45
female,64,munster,electronics,washing_machine,8,2017-03-07,219.99,1759.92
male,55,connacht,electronics,bulb,10,2019-01-29,7.99,79.90
male,57,leinster,electronics,bulb,1,2019-04-24,7.99,7.99
male,54,munster,accessories,headphones,2,2018-04-11,225.39,450.78
female,31,connacht,footwear,nike,9,2017-03-16,107.92,971.28
female,34,leinster,phones,huawei,3,2018-07-15,750.99,2252.97
male,37,munster,accessories,speakers,4,2017-04-21,78.35,313.40
male,31,ulster,footwear,puma,1,2017-06-28,99.99,99.99
female,42,ulster,electronics,bulb,1,2018-06-24,7.99,7.99
female,49,munster,accessories,camera,9,2017-01-12,174.88,1573.92
male,32,ulster,phones,samsung,10,2019-01-30,890.29,8902.90
female,39,ulster,footwear,nike,5,2018-02-09,107.92,539.60
male,61,leinster,computers,lenovo,9,2019-12-12,827.45,7447.05
female,19,munster,phones,nokia,6,2018-01-14,420.19,2521.14
male,41,ulster,computers,lenovo,8,2017-03-21,827.45,6619.60
male,41,munster,electronics,refridgerator,10,2018-03-25,205.99,2059.90
female,64,munster,footwear,nike,1,2017-11-03,107.92,107.92
male,57,connacht,accessories,camera,10,2018-09-19,174.88,1748.80
male,28,ulster,accessories,headphones,5,2018-03-14,225.39,1126.95
male,53,munster,footwear,nike,8,2018-12-08,107.92,863.36
male,47,munster,phones,huawei,2,2019-01-03,750.99,1501.98
female,48,munster,accessories,speakers,2,2017-12-17,78.35,156.70
male,38,connacht,phones,iphone,1,2019-05-04,910.99,910.99
male,40,connacht,computers,lenovo,5,2019-11-09,827.45,4137.25
male,36,leinster,accessories,headphones,3,2017-02-02,225.39,676.17
female,31,connacht,computers,hp,9,2017-12-01,1082.99,9746.91
male,31,ulster,computers,dell,2,2018-03-15,1323.49,2646.98
male,51,munster,accessories,headphones,4,2018-08-27,225.39,901.56
female,60,connacht,accessories,headphones,5,2019-09-22,225.39,1126.95
male,61,connacht,electronics,refridgerator,1,2017-05-15,205.99,205.99
female,30,ulster,computers,asus,5,2017-01-08,984.34,4921.70
male,36,leinster,phones,infinix,4,2018-05-02,340.29,1361.16
male,58,connacht,computers,dell,4,2017-02-27,1323.49,5293.96
female,47,munster,computers,lenovo,8,2019-03-20,827.45,6619.60
male,40,connacht,phones,gionee,1,2017-05-29,280.99,280.99
female,35,leinster,footwear,nike,10,2018-09-29,107.92,1079.20
male,58,ulster,computers,dell,1,2017-08-23,1323.49,1323.49
female,21,leinster,phones,samsung,9,2017-08-06,890.29,8012.61
male,34,ulster,footwear,nike,5,2018-03-03,107.92,539.60
male,41,leinster,footwear,puma,6,2019-04-06,99.99,599.94
male,59,ulster,computers,lenovo,2,2017-08-13,827.45,1654.90
female,49,ulster,accessories,speakers,8,2017-12-08,78.35,626.80
male,27,leinster,computers,lenovo,3,2017-08-17,827.45,2482.35
male,27,connacht,footwear,puma,10,2019-04-01,99.99,999.90
female,24,leinster,footwear,nike,3,2017-05-04,107.92,323.76
female,24,leinster,computers,dell,9,2018-04-18,1323.49,11911.41
male,32,munster,footwear,adidas,8,2018-05-13,115.99,927.92
female,23,leinster,computers,hp,7,2019-03-23,1082.99,7580.93
female,57,ulster,footwear,nike,9,2017-12-05,107.92,971.28
male,53,munster,computers,asus,5,2018-12-12,984.34,4921.70
male,61,leinster,electronics,fan,7,2019-03-28,24.49,171.43
male,43,leinster,computers,lenovo,7,2019-11-27,827.45,5792.15
female,25,munster,electronics,television,1,2017-12-22,185.50,185.50
female,40,connacht,electronics,cooker,5,2018-11-06,85.99,429.95
male,28,leinster,computers,asus,4,2019-07-06,984.34,3937.36
female,19,ulster,electronics,cooker,9,2017-03-23,85.99,773.91
male,56,leinster,electronics,television,6,2019-07-25,185.50,1113.00
female,38,leinster,computers,hp,5,2019-02-02,1082.99,5414.95
female,42,munster,electronics,bulb,5,2017-07-07,7.99,39.95
male,34,munster,footwear,puma,5,2019-04-24,99.99,499.95
female,48,ulster,phones,huawei,7,2019-06-19,750.99,5256.93
female,52,ulster,electronics,washing_machine,1,2017-08-24,219.99,219.99
male,37,leinster,computers,asus,10,2019-10-28,984.34,9843.40
male,39,ulster,footwear,puma,3,2018-03-05,99.99,299.97
female,53,connacht,accessories,camera,9,2017-10-26,174.88,1573.92
female,47,munster,computers,lenovo,4,2019-01-03,827.45,3309.80
male,41,ulster,phones,nokia,1,2019-12-29,420.19,420.19
female,37,munster,phones,iphone,4,2017-12-21,910.99,3643.96
female,60,munster,computers,asus,10,2018-02-09,984.34,9843.40
female,41,ulster,accessories,headphones,7,2019-03-02,225.39,1577.73
female,37,munster,accessories,headphones,9,2019-11-08,225.39,2028.51
male,44,ulster,electronics,television,10,2017-02-26,185.50,1855.00
female,34,leinster,footwear,nike,1,2017-03-31,107.92,107.92
male,50,ulster,computers,lenovo,9,2017-05-06,827.45,7447.05
male,18,leinster,phones,gionee,8,2019-02-16,280.99,2247.92
male,42,munster,phones,tecno,8,2017-02-17,300.99,2407.92
female,21,ulster,accessories,speakers,3,2018-01-12,78.35,235.05
male,63,leinster,accessories,speakers,7,2018-02-06,78.35,548.45
female,26,connacht,electronics,fan,5,2017-05-04,24.49,122.45
male,43,ulster,accessories,headphones,5,2017-11-03,225.39,1126.95
female,19,leinster,electronics,washing_machine,9,2019-03-13,219.99,1979.91
female,18,munster,phones,infinix,7,2019-10-11,340.29,2382.03
female,41,leinster,footwear,puma,8,2017-05-19,99.99,799.92
female,18,connacht,computers,dell,2,2018-08-18,1323.49,2646.98
male,55,munster,footwear,puma,10,2019-02-24,99.99,999.90
